Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Demand vector,PVOLPBCO_Ev1,PVOLPBCO_Virgin_production_1,unit,process,ecoinvent 3_5 cut_off,9c937e39c42a12dceaa8dd4c2b3ae632,1,cubic meter,technosphere,0,1,,,,"sawnwood, beam, softwood, dried (u=20%), planed",CA-QC,,
Demand vector,PVOLPBCO_ASB1,PVOLPBCO_Assembling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,32,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_DSB1,PVOLPBCO_Disassembly_deconst_1,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,17.95,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,PVOLPBCO_E_rre1,PVOLPBCO_Recycling_EOL_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_E_rre1,PVOLPBCO_Recycling_EOL_1,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed1,PVOLPBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed1,PVOLPBCO_Landfilling_1,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed1,PVOLPBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed1,PVOLPBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,PVOLPBCO_Etot_1_LCI,PVOLPBCO_Inventaire_tot_1,unit,process,Demand vector,PVOLPBCO_Ev1,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_1_LCI,PVOLPBCO_Inventaire_tot_1,unit,process,Demand vector,PVOLPBCO_ASB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_1_LCI,PVOLPBCO_Inventaire_tot_1,unit,process,Demand vector,PVOLPBCO_DSB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_1_LCI,PVOLPBCO_Inventaire_tot_1,unit,process,Demand vector,PVOLPBCO_E_rre1,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_1_LCI,PVOLPBCO_Inventaire_tot_1,unit,process,Demand vector,PVOLPBCO_Ed1,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Ev2,PVOLPBCO_Virgin_production_2,unit,process,ecoinvent 3_5 cut_off,66e73ad57121ccaedce217f4afb15cf6,1,cubic meter,technosphere,0,1,,,,"glued laminated timber, for indoor use",CA-QC,,EcoSpold01Location=RER
Demand vector,PVOLPBCO_ASB2,PVOLPBCO_Assembling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,349,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_DSB2,PVOLPBCO_Disassembly_deconst_2,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,17.95,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,PVOLPBCO_E_rre2,PVOLPBCO_Recycling_EOL_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_E_rre2,PVOLPBCO_Recycling_EOL_2,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed2,PVOLPBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed2,PVOLPBCO_Landfilling_2,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed2,PVOLPBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed2,PVOLPBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,PVOLPBCO_Etot_2_LCI,PVOLPBCO_Inventaire_tot_2,unit,process,Demand vector,PVOLPBCO_Ev2,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_2_LCI,PVOLPBCO_Inventaire_tot_2,unit,process,Demand vector,PVOLPBCO_ASB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_2_LCI,PVOLPBCO_Inventaire_tot_2,unit,process,Demand vector,PVOLPBCO_DSB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_2_LCI,PVOLPBCO_Inventaire_tot_2,unit,process,Demand vector,PVOLPBCO_E_rre2,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_2_LCI,PVOLPBCO_Inventaire_tot_2,unit,process,Demand vector,PVOLPBCO_Ed2,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Ev3,PVOLPBCO_Virgin_production_3,unit,process,ecoinvent 3_5 cut_off,c15a4a17f898287098f93e1dfb19350b,1,cubic meter,technosphere,0,1,,,,oriented strand board,CA-QC,,EcoSpold01Location=RER
Demand vector,PVOLPBCO_ASB3,PVOLPBCO_Assembling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,24.5,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_DSB3,PVOLPBCO_Disassembly_deconst_3,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,25.13,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,PVOLPBCO_E_rre3,PVOLPBCO_Recycling_EOL_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_E_rre3,PVOLPBCO_Recycling_EOL_3,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed3,PVOLPBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed3,PVOLPBCO_Landfilling_3,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed3,PVOLPBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed3,PVOLPBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,PVOLPBCO_Etot_3_LCI,PVOLPBCO_Inventaire_tot_3,unit,process,Demand vector,PVOLPBCO_Ev3,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_3_LCI,PVOLPBCO_Inventaire_tot_3,unit,process,Demand vector,PVOLPBCO_ASB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_3_LCI,PVOLPBCO_Inventaire_tot_3,unit,process,Demand vector,PVOLPBCO_DSB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_3_LCI,PVOLPBCO_Inventaire_tot_3,unit,process,Demand vector,PVOLPBCO_E_rre3,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_3_LCI,PVOLPBCO_Inventaire_tot_3,unit,process,Demand vector,PVOLPBCO_Ed3,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Ev4,PVOLPBCO_Virgin_production_4,unit,process,Modified dataset,PB_product_Qc_CO,1,cubic meter,technosphere,0,1,,,,"particle board, for indoor use",,,
Demand vector,PVOLPBCO_ASB4,PVOLPBCO_Assembling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,21,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_DSB4,PVOLPBCO_Disassembly_deconst_4,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,25.13,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,PVOLPBCO_E_rre4,PVOLPBCO_Recycling_EOL_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_E_rre4,PVOLPBCO_Recycling_EOL_4,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed4,PVOLPBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed4,PVOLPBCO_Landfilling_4,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,PVOLPBCO_Ed4,PVOLPBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ed4,PVOLPBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,PVOLPBCO_Etot_4_LCI,PVOLPBCO_Inventaire_tot_4,unit,process,Demand vector,PVOLPBCO_Ev4,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_4_LCI,PVOLPBCO_Inventaire_tot_4,unit,process,Demand vector,PVOLPBCO_ASB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_4_LCI,PVOLPBCO_Inventaire_tot_4,unit,process,Demand vector,PVOLPBCO_DSB4,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_4_LCI,PVOLPBCO_Inventaire_tot_4,unit,process,Demand vector,PVOLPBCO_E_rre4,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Etot_4_LCI,PVOLPBCO_Inventaire_tot_4,unit,process,Demand vector,PVOLPBCO_Ed4,1,unit,technosphere,0,1,,,,,,,
Demand vector,PVOLPBCO_Ev5,PVOLPBCO_Virgin_production_5,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,0.1178,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,PVOLPBCO_Ev5,PVOLPBCO_Virgin_production_5,unit,process,ecoinvent 3_5 cut_off,533b4e17b46ad042bc644e3e5bc58a76,1,kilowatt hour,technosphere,0,1,,,,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",CA-QC,,Electricl efficiency referring to the LHV of the fuel input
Demand vector,PVOLPBCO_Etot_5_LCI,PVOLPBCO_Inventaire_tot_5,unit,process,Demand vector,PVOLPBCO_Ev5,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Ev1,FPICOBCO_Virgin_production_1,unit,process,ecoinvent 3_5 cut_off,9c937e39c42a12dceaa8dd4c2b3ae632,1,cubic meter,technosphere,0,1,,,,"sawnwood, beam, softwood, dried (u=20%), planed",CA-QC,,
Demand vector,FPICOBCO_ASB1,FPICOBCO_Assembling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,32,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_DSB1,FPICOBCO_Disassembly_deconst_1,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,17.95,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPICOBCO_E_rre1,FPICOBCO_Recycling_EOL_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed1,FPICOBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed1,FPICOBCO_Landfilling_1,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Ed1,FPICOBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed1,FPICOBCO_Landfilling_1,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPICOBCO_Etot_1_LCI,FPICOBCO_Inventaire_tot_1,unit,process,Demand vector,FPICOBCO_Ev1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_1_LCI,FPICOBCO_Inventaire_tot_1,unit,process,Demand vector,FPICOBCO_ASB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_1_LCI,FPICOBCO_Inventaire_tot_1,unit,process,Demand vector,FPICOBCO_DSB1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_1_LCI,FPICOBCO_Inventaire_tot_1,unit,process,Demand vector,FPICOBCO_E_rre1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_1_LCI,FPICOBCO_Inventaire_tot_1,unit,process,Demand vector,FPICOBCO_Ed1,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Ev2,FPICOBCO_Virgin_production_2,unit,process,ecoinvent 3_5 cut_off,66e73ad57121ccaedce217f4afb15cf6,1,cubic meter,technosphere,0,1,,,,"glued laminated timber, for indoor use",CA-QC,,EcoSpold01Location=RER
Demand vector,FPICOBCO_Erc2,FPICOBCO_Recycled_production_2,unit,process,Modified dataset,SC_600_CO,1.47,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Erc2,FPICOBCO_Recycled_production_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,511.03,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Erc2,FPICOBCO_Recycled_production_2,unit,process,Modified dataset,Recyc_glulam_CO,1,cubic meter,technosphere,0,1,,,,"recycled glued laminated timber, for indoor use",,,EcoSpold01Location=RER
Demand vector,FPICOBCO_ASB2,FPICOBCO_Assembling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,349,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_DSB2,FPICOBCO_Disassembly_deconst_2,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,127,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPICOBCO_E_rre2,FPICOBCO_Recycling_EOL_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed2,FPICOBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,25,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed2,FPICOBCO_Landfilling_2,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Ed2,FPICOBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,16,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed2,FPICOBCO_Landfilling_2,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-500,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_Ev2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_Erc2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_ASB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_DSB2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_E_rre2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_2_LCI,FPICOBCO_Inventaire_tot_2,unit,process,Demand vector,FPICOBCO_Ed2,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Ev3,FPICOBCO_Virgin_production_3,unit,process,ecoinvent 3_5 cut_off,c15a4a17f898287098f93e1dfb19350b,1,cubic meter,technosphere,0,1,,,,oriented strand board,CA-QC,,EcoSpold01Location=RER
Demand vector,FPICOBCO_Erc3,FPICOBCO_Recycled_production_3,unit,process,Modified dataset,SC_600_CO,1.37,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Erc3,FPICOBCO_Recycled_production_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,10.3435,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Erc3,FPICOBCO_Recycled_production_3,unit,process,Modified dataset,Recyc_OSB_CO,1,cubic meter,technosphere,0,1,,,,recycled oriented strand board,,,
Demand vector,FPICOBCO_ASB3,FPICOBCO_Assembling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,24.5,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_DSB3,FPICOBCO_Disassembly_deconst_3,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,179,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPICOBCO_E_rre3,FPICOBCO_Recycling_EOL_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed3,FPICOBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed3,FPICOBCO_Landfilling_3,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Ed3,FPICOBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed3,FPICOBCO_Landfilling_3,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_Ev3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_Erc3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_ASB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_DSB3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_E_rre3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_3_LCI,FPICOBCO_Inventaire_tot_3,unit,process,Demand vector,FPICOBCO_Ed3,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Ev4,FPICOBCO_Virgin_production_4,unit,process,Modified dataset,PB_product_Qc_CO,1,cubic meter,technosphere,0,1,,,,"particle board, for indoor use",,,
Demand vector,FPICOBCO_Ev4,FPICOBCO_Virgin_production_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,21,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Erc4,FPICOBCO_Recycled_production_4,unit,process,Modified dataset,SC_600_CO,0.9058,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Erc4,FPICOBCO_Recycled_production_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,176.277,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Erc4,FPICOBCO_Recycled_production_4,unit,process,Modified dataset,Recyc_PB_CO,1,cubic meter,technosphere,0,1,,,,"recycled particle board, for indoor use",,,
Demand vector,FPICOBCO_Erc4,FPICOBCO_Recycled_production_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,173.6,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_ASB4,FPICOBCO_Assembling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,0,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_DSB4,FPICOBCO_Disassembly_deconst_4,unit,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,179,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Demand vector,FPICOBCO_E_rre4,FPICOBCO_Recycling_EOL_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed4,FPICOBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,35,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed4,FPICOBCO_Landfilling_4,unit,process,Modified dataset,SC_600_CO,1,cubic meter,technosphere,0,1,,,,Sorting center density of 600,,,
Demand vector,FPICOBCO_Ed4,FPICOBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,3cbb8ab87c854ab11385ac7cb6126e4a,22.4,ton kilometer,technosphere,0,1,,,,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",RoW,,
Demand vector,FPICOBCO_Ed4,FPICOBCO_Landfilling_4,unit,process,ecoinvent 3_5 cut_off,954fe45cf79848d83950947f57f6e999,-700,kilogram,technosphere,0,-1,,,,"waste wood, untreated",RoW,,EcoSpold01Location=CH
Demand vector,FPICOBCO_Etot_4_LCI,FPICOBCO_Inventaire_tot_4,unit,process,Demand vector,FPICOBCO_Ev4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_4_LCI,FPICOBCO_Inventaire_tot_4,unit,process,Demand vector,FPICOBCO_Erc4,1,unit,technosphere,0,1,,,,,,,
Demand vector,FPICOBCO_Etot_4_LCI,FPICOBCO_Inventaire_tot_4,unit,process,Demand vector,FPICOBCO_ASB4,1,unit,technosphere,0,1,,,,,,,
